Date,AAI US Equity,AAL US Equity,ALGT US Equity,ALK US Equity,ANS US Equity,AWAQC US Equity,DAL US Equity,FRNTQ US Equity,FRNTQ US Equity,GLUX US Equity,HA US Equity,JBLU US Equity,LCC US Equity,LUV US Equity,MEH US Equity,MESA US Equity,NWA US Equity,SAVE US Equity,SKYW US Equity,UAL US Equity,RHWI US Equity,XJT US Equity,VA US Equity
2001-01-17,7.375,#N/A,#N/A,7.375,4.1875,#N/A,#N/A,22.8333,22.8333,0.9375,2.4375,#N/A,#N/A,19.4667,17.75,#N/A,#N/A,#N/A,23.75,#N/A,73919.98522,#N/A,#N/A
2001-01-18,7.125,#N/A,#N/A,7.4531,4.1875,#N/A,#N/A,22.9583,22.9583,1,2.3125,#N/A,#N/A,19.92,18.0625,#N/A,#N/A,#N/A,24.4375,#N/A,68159.98637,#N/A,#N/A
2001-01-19,7,#N/A,#N/A,7.5,4.0625,#N/A,#N/A,21.5,21.5,1,2.25,#N/A,#N/A,19.2667,17.875,#N/A,#N/A,#N/A,22.875,#N/A,67199.98656,#N/A,#N/A
2001-01-22,7.375,#N/A,#N/A,7.5781,4.25,#N/A,#N/A,21.1667,21.1667,1.0625,2.3125,#N/A,#N/A,18.9533,17.6875,#N/A,#N/A,#N/A,22.625,#N/A,64799.98704,#N/A,#N/A
2001-01-23,7.875,#N/A,#N/A,8.0469,4.3125,#N/A,#N/A,22.4167,22.4167,1,2.3125,#N/A,#N/A,19.5667,18,#N/A,#N/A,#N/A,23.3125,#N/A,62399.98752,#N/A,#N/A
2001-01-24,8.0625,#N/A,#N/A,7.625,4.4375,#N/A,#N/A,22.375,22.375,1,2.3125,#N/A,#N/A,19.06,18.0625,#N/A,#N/A,#N/A,24.8125,#N/A,62399.98752,#N/A,#N/A
2001-01-25,8.0625,#N/A,#N/A,7.8906,4.375,#N/A,#N/A,21.875,21.875,1.0625,2.3125,#N/A,#N/A,19.7467,18.3125,#N/A,#N/A,#N/A,24.4375,#N/A,61439.98771,#N/A,#N/A
2001-01-26,8.5625,#N/A,#N/A,7.5938,4.3125,#N/A,#N/A,21.75,21.75,#N/A,2.1875,#N/A,#N/A,19.96,18.8125,#N/A,#N/A,#N/A,25.625,#N/A,62399.98752,#N/A,#N/A
2001-01-29,9.1,#N/A,#N/A,7.8,4.18,#N/A,#N/A,21.5833,21.5833,1.0625,2.18,#N/A,#N/A,20.3067,19.18,#N/A,#N/A,#N/A,25.0625,#N/A,66239.98675,#N/A,#N/A
2001-01-30,10,#N/A,#N/A,7.95,4.3,#N/A,#N/A,21.9167,21.9167,1.125,2.23,#N/A,#N/A,20.3667,20.14,#N/A,#N/A,#N/A,24.625,#N/A,67199.98656,#N/A,#N/A
2001-01-31,10.38,#N/A,#N/A,8.085,4.2,#N/A,#N/A,22.0417,22.0417,1.1875,2.3,#N/A,#N/A,20.8867,20.56,#N/A,#N/A,#N/A,24.8125,#N/A,65279.98694,#N/A,#N/A
2001-02-01,10.08,#N/A,#N/A,7.995,4.4,#N/A,#N/A,22.4583,22.4583,1.0625,2.4,#N/A,#N/A,21.5733,20.9,#N/A,#N/A,#N/A,25.375,#N/A,63359.98733,#N/A,#N/A
2001-02-02,9.59,#N/A,#N/A,8.075,4.25,#N/A,#N/A,23,23,1.125,2.45,#N/A,#N/A,21.44,20.64,#N/A,#N/A,#N/A,24.9375,#N/A,63359.98733,#N/A,#N/A
2001-02-05,10.22,#N/A,#N/A,8.22,4.09,#N/A,#N/A,23.6667,23.6667,1.125,2.36,#N/A,#N/A,21.14,20.21,#N/A,#N/A,#N/A,27.125,#N/A,63359.98733,#N/A,#N/A
2001-02-06,10.09,#N/A,#N/A,8.3275,4.28,#N/A,#N/A,23.9167,23.9167,1.125,2.46,#N/A,#N/A,21.32,19.97,#N/A,#N/A,#N/A,25.75,#N/A,62399.98752,#N/A,#N/A
2001-02-07,9.99,#N/A,#N/A,8.29,4.15,#N/A,#N/A,24.1667,24.1667,1.125,2.46,#N/A,#N/A,21.32,19.83,#N/A,#N/A,#N/A,27.125,#N/A,58559.98829,#N/A,#N/A
2001-02-08,9.7,#N/A,#N/A,8.12,4.19,#N/A,#N/A,23.3333,23.3333,1.21875,2.5,#N/A,#N/A,21.1333,20.06,#N/A,#N/A,#N/A,25.6563,#N/A,61439.98771,#N/A,#N/A
2001-02-09,9.5,#N/A,#N/A,7.965,4.26,#N/A,#N/A,23.25,23.25,1.25,2.4,#N/A,#N/A,20.6733,19.66,#N/A,#N/A,#N/A,27.3125,#N/A,63359.98733,#N/A,#N/A
2001-02-12,9.37,#N/A,#N/A,7.975,4.35,#N/A,#N/A,23.4583,23.4583,1.5,2.45,#N/A,#N/A,21.24,19.8,#N/A,#N/A,#N/A,26.625,#N/A,59519.9881,#N/A,#N/A
2001-02-13,9.69,#N/A,#N/A,7.9625,4.3,#N/A,#N/A,23.9583,23.9583,2.25,2.4,#N/A,#N/A,21.46,20.01,#N/A,#N/A,#N/A,26.5625,#N/A,60479.9879,#N/A,#N/A
2001-02-14,9.71,#N/A,#N/A,7.9325,4.24,#N/A,#N/A,23.6667,23.6667,2.125,2.35,#N/A,#N/A,20.6733,20,#N/A,#N/A,#N/A,26.5625,#N/A,60479.9879,#N/A,#N/A
2001-02-15,9.88,#N/A,#N/A,7.8,4,#N/A,#N/A,23.75,23.75,2.1875,2.36,#N/A,#N/A,21,19.96,#N/A,#N/A,#N/A,26.75,#N/A,62399.98752,#N/A,#N/A
2001-02-16,9.55,#N/A,#N/A,7.615,3.95,#N/A,#N/A,25.0833,25.0833,2.25,2.42,#N/A,#N/A,20.49,20.06,#N/A,#N/A,#N/A,25.9375,#N/A,61439.98771,#N/A,#N/A
2001-02-20,9.29,#N/A,#N/A,7.25,4,#N/A,#N/A,24.9583,24.9583,2.5,2.45,#N/A,#N/A,20.26,19.76,#N/A,#N/A,#N/A,26.125,#N/A,62399.98752,#N/A,#N/A
2001-02-21,9.29,#N/A,#N/A,7.28,4,#N/A,#N/A,25.5,25.5,2.125,2.44,#N/A,#N/A,19.96,18.93,#N/A,#N/A,#N/A,25.8125,#N/A,58559.98829,#N/A,#N/A
2001-02-22,8.69,#N/A,#N/A,7.2125,4.18,#N/A,#N/A,24.4583,24.4583,2,2.46,#N/A,#N/A,19.6,18.58,#N/A,#N/A,#N/A,24.625,#N/A,52799.98944,#N/A,#N/A
2001-02-23,8.8,#N/A,#N/A,7.125,4.15,#N/A,#N/A,24.1667,24.1667,1.6875,2.4,#N/A,#N/A,19.1,18.05,#N/A,#N/A,#N/A,24.125,#N/A,52799.98944,#N/A,#N/A
2001-02-26,9.35,#N/A,#N/A,7.3975,4,#N/A,#N/A,23.6667,23.6667,1.6875,2.4,#N/A,#N/A,19.3,18.95,#N/A,#N/A,#N/A,24.8125,#N/A,60479.9879,#N/A,#N/A
2001-02-27,8.99,#N/A,#N/A,7.255,4.1,#N/A,#N/A,16.2083,16.2083,1.6875,2.45,#N/A,#N/A,19.2,19.07,#N/A,#N/A,#N/A,23.3125,#N/A,57599.98848,#N/A,#N/A
2001-02-28,9.2,#N/A,#N/A,7.145,4.03,#N/A,#N/A,15.625,15.625,1.6875,2.5,#N/A,#N/A,18.6,18.42,#N/A,#N/A,#N/A,22.6875,#N/A,55679.98886,#N/A,#N/A
2001-03-01,8.7,#N/A,#N/A,6.825,4.05,#N/A,#N/A,13.9167,13.9167,1.875,2.46,#N/A,#N/A,18,17.43,#N/A,#N/A,#N/A,21.375,#N/A,50879.98982,#N/A,#N/A
2001-03-02,9,#N/A,#N/A,7.06,4.15,#N/A,#N/A,14.2917,14.2917,1.875,2.46,#N/A,#N/A,18,17.19,#N/A,#N/A,#N/A,21.25,#N/A,57599.98848,#N/A,#N/A
2001-03-05,9.26,#N/A,#N/A,6.965,4.15,#N/A,#N/A,14.5833,14.5833,1.9375,2.48,#N/A,#N/A,18.42,17.19,#N/A,#N/A,#N/A,21.0625,#N/A,60479.9879,#N/A,#N/A
2001-03-06,9.63,#N/A,#N/A,7.025,4.35,#N/A,#N/A,15.1875,15.1875,2,2.45,#N/A,#N/A,18.73,17.81,#N/A,#N/A,#N/A,21,#N/A,75839.98483,#N/A,#N/A
2001-03-07,9.65,#N/A,#N/A,7.06,4.45,#N/A,#N/A,14.0625,14.0625,1.9375,2.4,#N/A,#N/A,18.96,17.4,#N/A,#N/A,#N/A,20.875,#N/A,71999.9856,#N/A,#N/A
2001-03-08,9.4,#N/A,#N/A,7.2125,4.35,#N/A,#N/A,13.0625,13.0625,1.875,2.34,#N/A,#N/A,18.44,17.7,#N/A,#N/A,#N/A,20.75,#N/A,74879.98502,#N/A,#N/A
2001-03-09,8.9,#N/A,#N/A,7.1125,4.35,#N/A,#N/A,12.125,12.125,2,2.3,#N/A,#N/A,17.17,17,#N/A,#N/A,#N/A,20,#N/A,73919.98522,#N/A,#N/A
2001-03-12,7.9,#N/A,#N/A,7,4.35,#N/A,#N/A,12.0625,12.0625,1.875,2.41,#N/A,#N/A,16.76,15.9,#N/A,#N/A,#N/A,19,#N/A,69119.98618,#N/A,#N/A
2001-03-13,7.8,#N/A,#N/A,7.095,4.3,#N/A,#N/A,11.375,11.375,1.875,2.43,#N/A,#N/A,16.59,15.5,#N/A,#N/A,#N/A,17.75,#N/A,65279.98694,#N/A,#N/A
2001-03-14,7.8,#N/A,#N/A,6.9375,4.3,#N/A,#N/A,11.625,11.625,1.875,2.39,#N/A,#N/A,16.7,15.2,#N/A,#N/A,#N/A,18.5625,#N/A,57599.98848,#N/A,#N/A
2001-03-15,7.5,#N/A,#N/A,6.9,4.3,#N/A,#N/A,11.4375,11.4375,1.75,2.45,#N/A,#N/A,17.55,15.5,#N/A,#N/A,#N/A,18.3125,#N/A,67199.98656,#N/A,#N/A
2001-03-16,7.14,#N/A,#N/A,6.6725,4.15,#N/A,#N/A,10.625,10.625,1.75,2.41,#N/A,#N/A,17.89,15.41,#N/A,#N/A,#N/A,18.5,#N/A,62399.98752,#N/A,#N/A
2001-03-19,7,#N/A,#N/A,6.4375,4.2,#N/A,#N/A,10.3125,10.3125,1.75,2.39,#N/A,#N/A,17.35,15.14,#N/A,#N/A,#N/A,19.25,#N/A,57599.98848,#N/A,#N/A
2001-03-20,7.15,#N/A,#N/A,6.49,4.15,#N/A,#N/A,10.1563,10.1563,1.75,2.45,#N/A,#N/A,17.05,15.24,#N/A,#N/A,#N/A,19.375,#N/A,55679.98886,#N/A,#N/A
2001-03-21,7.41,#N/A,#N/A,6.37,4.15,#N/A,#N/A,10.25,10.25,#N/A,2.45,#N/A,#N/A,16.9,14.8,#N/A,#N/A,#N/A,19.375,#N/A,58559.98829,#N/A,#N/A
2001-03-22,7.16,#N/A,#N/A,6.2625,4.2,#N/A,#N/A,9.9375,9.9375,#N/A,2.3,#N/A,#N/A,16.65,14.15,#N/A,#N/A,#N/A,19.8125,#N/A,59999.988,#N/A,#N/A
2001-03-23,7.48,#N/A,#N/A,6.3875,4.2,#N/A,#N/A,10.9375,10.9375,1.75,2.4,#N/A,#N/A,17.06,14.69,#N/A,#N/A,#N/A,20,#N/A,58559.98829,#N/A,#N/A
2001-03-26,7.82,#N/A,#N/A,6.575,4.2,#N/A,#N/A,12.3125,12.3125,1.875,2.45,#N/A,#N/A,18,15.31,#N/A,#N/A,#N/A,20.9375,#N/A,47999.9904,#N/A,#N/A
2001-03-27,8,#N/A,#N/A,6.5375,4.35,#N/A,#N/A,11.75,11.75,1.875,2.5,#N/A,#N/A,18.1,16.19,#N/A,#N/A,#N/A,21.5,#N/A,48959.99021,#N/A,#N/A
2001-03-28,7.84,#N/A,#N/A,6.455,4.3,#N/A,#N/A,11.5,11.5,1.875,2.5,#N/A,#N/A,17.55,16.02,#N/A,#N/A,#N/A,21,#N/A,47999.9904,#N/A,#N/A
2001-03-29,7.84,#N/A,#N/A,6.3625,4.35,#N/A,#N/A,11.75,11.75,1.84375,2.59,#N/A,#N/A,17.37,15.55,#N/A,#N/A,#N/A,19.4375,#N/A,45119.99098,#N/A,#N/A
2001-03-30,7.84,#N/A,#N/A,6.425,4.4,#N/A,#N/A,12.1875,12.1875,#N/A,3.25,#N/A,#N/A,17.75,15.81,#N/A,#N/A,#N/A,23.25,#N/A,40319.99194,#N/A,#N/A
2001-04-02,8.1,#N/A,#N/A,6.3125,4.45,#N/A,#N/A,10.3125,10.3125,1.6875,2.8,#N/A,#N/A,17.68,16.05,#N/A,#N/A,#N/A,21.6875,#N/A,39359.99213,#N/A,#N/A
2001-04-03,7.74,#N/A,#N/A,6.2775,4.5,#N/A,#N/A,10.4375,10.4375,1.75,2.66,#N/A,#N/A,17.38,15.75,#N/A,#N/A,#N/A,20.5625,#N/A,39359.99213,#N/A,#N/A
2001-04-04,7.97,#N/A,#N/A,6.3725,4.45,#N/A,#N/A,10.9375,10.9375,1.4375,2.6,#N/A,#N/A,17.73,15.72,#N/A,#N/A,#N/A,21.0625,#N/A,30719.99386,#N/A,#N/A
2001-04-05,8.23,#N/A,#N/A,6.4875,4.5,#N/A,#N/A,11.9375,11.9375,1.5,2.6,#N/A,#N/A,18.45,16.3,#N/A,#N/A,#N/A,23.25,#N/A,34559.99309,#N/A,#N/A
2001-04-06,8.2,#N/A,#N/A,6.275,4.55,#N/A,#N/A,11.875,11.875,1.5,2.59,#N/A,#N/A,17.63,15.48,#N/A,#N/A,#N/A,22.375,#N/A,31679.99366,#N/A,#N/A
2001-04-09,8.5,#N/A,#N/A,6.255,4.58,#N/A,#N/A,12.52,12.52,#N/A,2.5,#N/A,#N/A,17.67,15.98,#N/A,#N/A,#N/A,23.1,#N/A,33599.99328,#N/A,#N/A
2001-04-10,8.79,#N/A,#N/A,6.5525,4.55,#N/A,#N/A,14,14,#N/A,2.6,#N/A,#N/A,18.45,15.9,#N/A,#N/A,#N/A,23.26,#N/A,34559.99309,#N/A,#N/A
2001-04-11,9.05,#N/A,#N/A,6.525,5.05,#N/A,#N/A,13.5,13.5,1.44,2.4,#N/A,#N/A,18.11,16,#N/A,#N/A,#N/A,23.47,#N/A,32639.99347,#N/A,#N/A
2001-04-12,9,#N/A,#N/A,6.5125,4.92,#N/A,#N/A,12.89,12.89,1.45,2.4,#N/A,#N/A,18.29,15.72,#N/A,#N/A,#N/A,24.12,#N/A,45119.99098,#N/A,#N/A
2001-04-16,9.39,#N/A,#N/A,6.53,5,#N/A,#N/A,12.79,12.79,1.5,2.4,#N/A,#N/A,18.12,15.6,#N/A,#N/A,#N/A,22.92,#N/A,43199.99136,#N/A,#N/A
2001-04-17,9.29,#N/A,#N/A,6.6375,4.95,#N/A,#N/A,13.06,13.06,1.37,2.49,#N/A,#N/A,17.59,15.75,#N/A,#N/A,#N/A,23.36,#N/A,40319.99194,#N/A,#N/A
2001-04-18,9.84,#N/A,#N/A,6.775,4.9,#N/A,#N/A,13.5,13.5,1.49,2.49,#N/A,#N/A,18.22,15.58,#N/A,#N/A,#N/A,23.56,#N/A,39359.99213,#N/A,#N/A
2001-04-19,9.84,#N/A,#N/A,6.9975,4.9,#N/A,#N/A,14,14,1.42,2.69,#N/A,#N/A,19.1,15.1,#N/A,#N/A,#N/A,24.85,#N/A,35519.9929,#N/A,#N/A
2001-04-20,9.88,#N/A,#N/A,6.8425,4.9,#N/A,#N/A,13.98,13.98,1.43,2.4,#N/A,#N/A,18.17,15.3,#N/A,#N/A,#N/A,23.98,#N/A,33599.99328,#N/A,#N/A
2001-04-23,9.49,#N/A,#N/A,6.75,4.7,#N/A,#N/A,13.87,13.87,#N/A,2.55,#N/A,#N/A,18.34,15.22,#N/A,#N/A,#N/A,24.6,#N/A,35519.9929,#N/A,#N/A
2001-04-24,9.4,#N/A,#N/A,6.705,4.35,#N/A,#N/A,13.95,13.95,#N/A,2.6,#N/A,#N/A,18.28,15.5,#N/A,#N/A,#N/A,25.37,#N/A,36479.9927,#N/A,#N/A
2001-04-25,9.79,#N/A,#N/A,6.7475,4.5,#N/A,#N/A,14.15,14.15,1.42,2.65,#N/A,#N/A,18.1,15.49,#N/A,#N/A,#N/A,25.08,#N/A,33599.99328,#N/A,#N/A
2001-04-26,9.65,#N/A,#N/A,6.875,4.35,#N/A,#N/A,14.07,14.07,1.43,2.69,#N/A,#N/A,18.32,15.3,#N/A,#N/A,#N/A,25.6,#N/A,33599.99328,#N/A,#N/A
2001-04-27,9.5,#N/A,#N/A,7.0725,4.76,#N/A,#N/A,14.96,14.96,1.52,2.76,#N/A,#N/A,18.42,15.49,#N/A,#N/A,#N/A,26.6,#N/A,37439.99251,#N/A,#N/A
2001-04-30,9.3,#N/A,#N/A,7.0375,4.8,#N/A,#N/A,15.03,15.03,#N/A,2.9,#N/A,#N/A,18.21,15.49,#N/A,#N/A,#N/A,26.5,#N/A,35519.9929,#N/A,#N/A
2001-05-01,9.25,#N/A,#N/A,6.985,4.51,#N/A,#N/A,14.35,14.35,1.46,2.95,#N/A,#N/A,18.12,15.5,#N/A,#N/A,#N/A,26.55,#N/A,34559.99309,#N/A,#N/A
2001-05-02,9.27,#N/A,#N/A,7.0475,4.6,#N/A,#N/A,14.7,14.7,1.6,3.05,#N/A,#N/A,18.43,15.95,#N/A,#N/A,#N/A,26.11,#N/A,33599.99328,#N/A,#N/A
2001-05-03,9.29,#N/A,#N/A,7.1,4.6,#N/A,#N/A,14.38,14.38,1.58,3.05,#N/A,#N/A,18.6,15.71,#N/A,#N/A,#N/A,25.65,#N/A,35999.9928,#N/A,#N/A
2001-05-04,9.23,#N/A,#N/A,7.155,4.69,#N/A,#N/A,14.48,14.48,1.6,3.11,#N/A,#N/A,18.45,15.74,#N/A,#N/A,#N/A,26.18,#N/A,34559.99309,#N/A,#N/A
2001-05-07,9.05,#N/A,#N/A,7.25,4.75,#N/A,#N/A,14.65,14.65,1.7,3.2,#N/A,#N/A,18.5,15.61,#N/A,#N/A,#N/A,25.78,#N/A,33599.99328,#N/A,#N/A
2001-05-08,9.05,#N/A,#N/A,7.175,4.8,#N/A,#N/A,14.76,14.76,1.6,3.14,#N/A,#N/A,18.48,15.59,#N/A,#N/A,#N/A,25.95,#N/A,32639.99347,#N/A,#N/A
2001-05-09,8.95,#N/A,#N/A,7.1625,4.85,#N/A,#N/A,14.8,14.8,1.42,3.14,#N/A,#N/A,18.45,15.91,#N/A,#N/A,#N/A,25.99,#N/A,31679.99366,#N/A,#N/A
2001-05-10,8.98,#N/A,#N/A,7.1925,4.85,#N/A,#N/A,15.06,15.06,1.5,3.1,#N/A,#N/A,18.38,16.01,#N/A,#N/A,#N/A,26,#N/A,31679.99366,#N/A,#N/A
2001-05-11,9.19,#N/A,#N/A,7.1175,4.94,#N/A,#N/A,14.85,14.85,#N/A,3.09,#N/A,#N/A,18,16,#N/A,#N/A,#N/A,26,#N/A,32639.99347,#N/A,#N/A
2001-05-14,9.16,#N/A,#N/A,7.1425,4.85,#N/A,#N/A,15,15,1.5,3.01,#N/A,#N/A,18.04,16.01,#N/A,#N/A,#N/A,25.58,#N/A,31679.99366,#N/A,#N/A
2001-05-15,9.05,#N/A,#N/A,6.8725,4.81,#N/A,#N/A,14.95,14.95,1.45,3,#N/A,#N/A,18,15.91,#N/A,#N/A,#N/A,25.49,#N/A,29759.99405,#N/A,#N/A
2001-05-16,9.05,#N/A,#N/A,6.985,4.95,#N/A,#N/A,15.66,15.66,1.6,3.09,#N/A,#N/A,18.07,15.97,#N/A,#N/A,#N/A,26.08,#N/A,29759.99405,#N/A,#N/A
2001-05-17,9.12,#N/A,#N/A,7.175,4.9,#N/A,#N/A,16.17,16.17,1.38,3.09,#N/A,#N/A,17.8,15.92,#N/A,#N/A,#N/A,27.33,#N/A,29759.99405,#N/A,#N/A
2001-05-18,9.1,#N/A,#N/A,7.15,4.85,#N/A,#N/A,16.35,16.35,1.4,3.05,#N/A,#N/A,18.6,16,#N/A,#N/A,#N/A,27.84,#N/A,30719.99386,#N/A,#N/A
2001-05-21,9.34,#N/A,#N/A,7.1975,5,#N/A,#N/A,16.43,16.43,1.57,3.07,#N/A,#N/A,18.81,15.98,#N/A,#N/A,#N/A,28.82,#N/A,31199.99376,#N/A,#N/A
2001-05-22,9.9,#N/A,#N/A,7.3675,5.2,#N/A,#N/A,16.71,16.71,1.4,3,#N/A,#N/A,18.88,17.32,#N/A,#N/A,#N/A,29.24,#N/A,28319.99434,#N/A,#N/A
2001-05-23,9.81,#N/A,#N/A,7.22,5.3,#N/A,#N/A,16.29,16.29,1.4,3.02,#N/A,#N/A,19.11,17.71,#N/A,#N/A,#N/A,29.36,#N/A,23999.9952,#N/A,#N/A
2001-05-24,9.7,#N/A,#N/A,7.15,5.15,#N/A,#N/A,15.75,15.75,1.39,3.04,#N/A,#N/A,19.06,18.1,#N/A,#N/A,#N/A,29.75,#N/A,21599.99568,#N/A,#N/A
2001-05-25,10.15,#N/A,#N/A,7.1925,5.2,#N/A,#N/A,15.73,15.73,1.33,3.04,#N/A,#N/A,19.23,18.3,#N/A,#N/A,#N/A,30.49,#N/A,24959.99501,#N/A,#N/A
2001-05-29,10.59,#N/A,#N/A,7.225,5.18,#N/A,#N/A,16.38,16.38,1.31,3.15,#N/A,#N/A,19.53,17.93,#N/A,#N/A,#N/A,29.76,#N/A,20159.99597,#N/A,#N/A
2001-05-30,10.94,#N/A,#N/A,7.1075,5.15,#N/A,#N/A,16.48,16.48,1.31,3,#N/A,#N/A,19.39,17.8,#N/A,#N/A,#N/A,28.71,#N/A,21119.99578,#N/A,#N/A
2001-05-31,10.76,#N/A,#N/A,7.1825,5.12,#N/A,#N/A,15.51,15.51,#N/A,3.08,#N/A,#N/A,20,17.09,#N/A,#N/A,#N/A,28.4,#N/A,22079.99558,#N/A,#N/A
2001-06-01,10.9,#N/A,#N/A,7.005,5.16,#N/A,#N/A,14.04,14.04,1.37,3.13,#N/A,#N/A,19.27,17.29,#N/A,#N/A,#N/A,27.78,#N/A,21119.99578,#N/A,#N/A
2001-06-04,11.3,#N/A,#N/A,7.0225,5.16,#N/A,#N/A,14.14,14.14,#N/A,3.1,#N/A,#N/A,18.83,17,#N/A,#N/A,#N/A,28.49,#N/A,21119.99578,#N/A,#N/A
2001-06-05,11.18,#N/A,#N/A,7.065,5.4,#N/A,#N/A,14.1,14.1,1.36,3.12,#N/A,#N/A,18.75,16.96,#N/A,#N/A,#N/A,28.81,#N/A,19199.99616,#N/A,#N/A
2001-06-06,11.03,#N/A,#N/A,7.005,5.27,#N/A,#N/A,13.97,13.97,1.42,3.12,#N/A,#N/A,18.69,16.78,#N/A,#N/A,#N/A,29.07,#N/A,16319.99674,#N/A,#N/A
2001-06-07,10.82,#N/A,#N/A,6.9875,5.3,#N/A,#N/A,13.97,13.97,1.37,3.14,#N/A,#N/A,18.64,16.68,#N/A,#N/A,#N/A,29.5,#N/A,16319.99674,#N/A,#N/A
2001-06-08,10.73,#N/A,#N/A,6.995,5.35,#N/A,#N/A,13.99,13.99,1.37,3.1,#N/A,#N/A,18.55,16.61,#N/A,#N/A,#N/A,28.44,#N/A,18239.99635,#N/A,#N/A
2001-06-11,11,#N/A,#N/A,6.9725,5.31,#N/A,#N/A,13.95,13.95,#N/A,3.24,#N/A,#N/A,18.01,16.61,#N/A,#N/A,#N/A,27.46,#N/A,17279.99654,#N/A,#N/A
2001-06-12,11.33,#N/A,#N/A,6.825,5.4,#N/A,#N/A,13.34,13.34,#N/A,3.2,#N/A,#N/A,17.49,16.13,#N/A,#N/A,#N/A,27.33,#N/A,17279.99654,#N/A,#N/A
2001-06-13,11.56,#N/A,#N/A,6.9275,5.75,#N/A,#N/A,13.3,13.3,1.37,3.16,#N/A,#N/A,17.5,16.48,#N/A,#N/A,#N/A,27.66,#N/A,17279.99654,#N/A,#N/A
2001-06-14,12.01,#N/A,#N/A,6.8725,5.8,#N/A,#N/A,13,13,1.36,3.25,#N/A,#N/A,17.19,16.1,#N/A,#N/A,#N/A,27.25,#N/A,16319.99674,#N/A,#N/A
2001-06-15,11.97,#N/A,#N/A,6.705,6,#N/A,#N/A,12.01,12.01,1.3,3.2,#N/A,#N/A,17,16.01,#N/A,#N/A,#N/A,27.85,#N/A,15359.99693,#N/A,#N/A
2001-06-18,11.95,#N/A,#N/A,6.79,5.75,#N/A,#N/A,11.68,11.68,1.3,3.2,#N/A,#N/A,17.27,15.97,#N/A,#N/A,#N/A,26.64,#N/A,16319.99674,#N/A,#N/A
2001-06-19,11.3,#N/A,#N/A,6.665,5.8,#N/A,#N/A,11.64,11.64,1.18,3.16,#N/A,#N/A,17.02,15.62,#N/A,#N/A,#N/A,26.5,#N/A,15359.99693,#N/A,#N/A
2001-06-20,11.02,#N/A,#N/A,6.54,5.65,#N/A,#N/A,11.29,11.29,1.16,3.21,#N/A,#N/A,16.8,15.36,#N/A,#N/A,#N/A,26.14,#N/A,13919.99722,#N/A,#N/A
2001-06-21,10.88,#N/A,#N/A,6.575,5.83,#N/A,#N/A,11.4,11.4,1.01,3.2,#N/A,#N/A,17.47,15.59,#N/A,#N/A,#N/A,26.21,#N/A,15839.99683,#N/A,#N/A
