,XJT US Equity
2004-04-26,134.5
2004-04-27,135.4
2004-04-28,130.2
2004-04-29,127.5
2004-04-30,127.2
2004-05-03,127.5
2004-05-04,125.5
2004-05-05,126.6
2004-05-06,122.9
2004-05-07,117.6
2004-05-10,116.3
2004-05-11,118.8
2004-05-12,120.5
2004-05-13,119.7
2004-05-14,118.5
2004-05-17,117.2
2004-05-18,117
2004-05-19,116.3
2004-05-20,117.4
2004-05-21,118
2004-05-24,116.5
2004-05-25,119.5
2004-05-26,119.9
2004-05-27,119.8
2004-05-28,119.2
2004-06-01,119.1
2004-06-02,121
2004-06-03,119.5
2004-06-04,124
2004-06-07,126.5
2004-06-08,123.3
2004-06-09,123.7
2004-06-10,117.8
2004-06-14,116.7
2004-06-15,118.9
2004-06-16,117.5
2004-06-17,116.9
2004-06-18,117.7
2004-06-21,117.7
2004-06-22,119.1
2004-06-23,118.7
2004-06-24,118.4
2004-06-25,121.9
2004-06-28,121.5
2004-06-29,123.8
2004-06-30,121.4
2004-07-01,122
2004-07-02,119.2
2004-07-06,116.9
2004-07-07,117.4
2004-07-08,113.9
2004-07-09,111.2
2004-07-12,113.2
2004-07-13,111.5
2004-07-14,108.8
2004-07-15,109.3
2004-07-16,104.8
2004-07-19,106.8
2004-07-20,112.9
2004-07-21,108.6
2004-07-22,109.1
2004-07-23,107
2004-07-26,112.1
2004-07-27,108.2
2004-07-28,108.6
2004-07-29,111.2
2004-07-30,109
2004-08-02,107
2004-08-03,105.2
2004-08-04,109
2004-08-05,106.6
2004-08-06,104
2004-08-09,102.4
2004-08-10,104.4
2004-08-11,106
2004-08-12,105.8
2004-08-13,102.5
2004-08-16,109.3
2004-08-17,106.8
2004-08-18,112.6
2004-08-19,108.1
2004-08-20,110.6
2004-08-23,110.1
2004-08-24,111.3
2004-08-25,111.7
2004-08-26,112.4
2004-08-27,107.8
2004-08-30,107.2
2004-08-31,107.5
2004-09-01,108.2
2004-09-02,107.3
2004-09-03,107.5
2004-09-07,108.2
2004-09-08,106.3
2004-09-09,108.9
2004-09-10,110.8
2004-09-13,109.6
2004-09-14,108.5
2004-09-15,109.2
2004-09-16,109.2
2004-09-17,106.6
2004-09-20,106.4
2004-09-21,108
2004-09-22,104
2004-09-23,103.2
2004-09-24,103
2004-09-27,98.6
2004-09-28,98
2004-09-29,100.7
2004-09-30,100.1
2004-10-01,103.8
2004-10-04,106.2
2004-10-05,106.2
2004-10-06,109.1
2004-10-07,108
2004-10-08,104.6
2004-10-11,102.9
2004-10-12,103.6
2004-10-13,104.2
2004-10-14,103.9
2004-10-15,103.3
2004-10-18,100.8
2004-10-19,98.2
2004-10-20,96.8
2004-10-21,107.9
2004-10-22,109
2004-10-25,110.9
2004-10-26,112.1
2004-10-27,113
2004-10-28,113.3
2004-10-29,111.2
2004-11-01,112.4
2004-11-02,111.1
2004-11-03,107.2
2004-11-04,112
2004-11-05,114.5
2004-11-08,114.7
2004-11-09,115
2004-11-10,112.2
2004-11-11,115
2004-11-12,115.2
2004-11-15,117.9
2004-11-16,116.5
2004-11-17,115
2004-11-18,116.8
2004-11-19,113.1
2004-11-22,116.9
2004-11-23,118.3
2004-11-24,120.5
2004-11-26,120
2004-11-29,119
2004-11-30,116.6
2004-12-01,122.5
2004-12-02,125.8
2004-12-03,124.9
2004-12-06,123
2004-12-07,122
2004-12-08,121
2004-12-09,119.2
2004-12-10,122
2004-12-13,122.7
2004-12-14,125.6
2004-12-15,126.8
2004-12-16,125.7
2004-12-17,126.1
2004-12-20,124
2004-12-21,129.4
2004-12-22,131.9
2004-12-23,128.3
2004-12-27,129.8
2004-12-28,128
2004-12-29,128.5
2004-12-30,129.2
2004-12-31,128.8
2005-01-03,127.8
2005-01-04,120
2005-01-05,116.4
2005-01-06,117.1
2005-01-07,114.8
2005-01-10,114.4
2005-01-11,113.5
2005-01-12,114
2005-01-13,110.7
2005-01-14,112.9
2005-01-18,114
2005-01-19,112.6
2005-01-20,110.3
2005-01-21,108.7
2005-01-24,107
2005-01-25,110.5
2005-01-26,111.9
2005-01-27,111.8
2005-01-28,112.5
2005-01-31,110.3
2005-02-01,111.9
2005-02-02,113.8
2005-02-03,115.3
2005-02-04,117.3
2005-02-07,119.9
2005-02-08,119
2005-02-09,113.5
2005-02-10,114
2005-02-11,114.4
2005-02-14,114.9
2005-02-15,114
2005-02-16,112.9
2005-02-17,113.8
2005-02-18,112.7
2005-02-22,110
2005-02-23,109.3
2005-02-24,109.9
2005-02-25,110
2005-02-28,112
2005-03-01,114.2
2005-03-02,111.5
2005-03-03,112.5
2005-03-04,114.2
2005-03-07,116.7
2005-03-08,114.5
2005-03-09,112.7
2005-03-10,111
2005-03-11,110.8
2005-03-14,111.4
2005-03-15,111.8
2005-03-16,110.7
2005-03-17,112.6
2005-03-18,109.9
2005-03-21,110.3
2005-03-22,110.1
2005-03-23,110.6
2005-03-24,109.8
2005-03-28,110.4
2005-03-29,111.1
2005-03-30,114.3
2005-03-31,114.1
2005-04-01,112.4
2005-04-04,112
2005-04-05,114.2
2005-04-06,116.3
2005-04-07,115.6
2005-04-08,110.3
2005-04-11,111.9
2005-04-12,111.7
2005-04-13,109.4
2005-04-14,108.5
2005-04-15,107
2005-04-18,108.5
2005-04-19,109.8
2005-04-20,105.2
2005-04-21,109.1
2005-04-22,97.1
2005-04-25,96.2
2005-04-26,92
2005-04-27,89.5
2005-04-28,90.4
2005-04-29,88.8
2005-05-02,89.5
2005-05-03,89.7
2005-05-04,91.6
2005-05-05,92.1
2005-05-06,92.1
2005-05-09,93.6
2005-05-10,88.7
2005-05-11,89.9
2005-05-12,88.1
2005-05-13,85.2
2005-05-16,87.2
2005-05-17,89.8
2005-05-18,90.7
2005-05-19,93
2005-05-20,91
2005-05-23,91.8
2005-05-24,89.5
2005-05-25,87.1
2005-05-26,88
2005-05-27,86.8
2005-05-31,86.3
2005-06-01,85.9
2005-06-02,90.7
2005-06-03,90.5
2005-06-06,93.1
2005-06-07,95
2005-06-08,92
2005-06-09,92.1
2005-06-10,92.5
2005-06-13,90.9
2005-06-14,90.7
2005-06-15,93.1
2005-06-16,92
2005-06-17,91.5
2005-06-20,91.3
2005-06-21,91.5
2005-06-22,92.9
2005-06-23,88.8
2005-06-24,88.5
2005-06-27,85.3
2005-06-28,88.7
2005-06-29,86.9
2005-06-30,85.1
2005-07-01,87.8
2005-07-05,86.5
2005-07-06,86.1
2005-07-07,87.4
2005-07-08,90.9
2005-07-11,94
2005-07-12,91.9
2005-07-13,91.9
2005-07-14,93
2005-07-15,95.9
2005-07-18,93.2
2005-07-19,96.9
2005-07-20,101.1
2005-07-21,100.5
2005-07-22,98.5
2005-07-25,100.7
2005-07-26,101.3
2005-07-27,102.3
2005-07-28,103.7
2005-07-29,103.5
2005-08-01,102.6
2005-08-02,104
2005-08-03,102.5
2005-08-04,98.7
2005-08-05,95.7
2005-08-08,98.7
2005-08-09,97
2005-08-10,94.4
2005-08-11,96
2005-08-12,95.7
2005-08-15,95.1
2005-08-16,96
2005-08-17,96.8
2005-08-18,94.7
2005-08-19,95.3
2005-08-22,94.8
2005-08-23,94.3
2005-08-24,93.8
2005-08-25,93.8
2005-08-26,92.5
2005-08-29,93.8
2005-08-30,91.8
2005-08-31,95.1
2005-09-01,92.3
2005-09-02,92.5
2005-09-06,95.2
2005-09-07,96.2
2005-09-08,95.8
2005-09-09,94.3
2005-09-12,93.1
2005-09-13,88.9
2005-09-14,88.7
2005-09-15,88.7
2005-09-16,88.7
2005-09-19,87.9
2005-09-20,87.8
2005-09-21,85.8
2005-09-22,87.4
2005-09-23,90
2005-09-26,90.8
2005-09-27,89.9
2005-09-28,89.3
2005-09-29,90
2005-09-30,89.7
2005-10-03,89.4
2005-10-04,90.2
2005-10-05,89.4
2005-10-06,90.9
2005-10-07,90.9
2005-10-10,91.3
2005-10-11,92.3
2005-10-12,91.2
2005-10-13,92.8
2005-10-14,92.5
2005-10-17,94.3
2005-10-18,94.6
2005-10-19,95.2
2005-10-20,91.9
2005-10-21,89.9
2005-10-24,90.8
2005-10-25,86.9
2005-10-26,87.2
2005-10-27,86.6
2005-10-28,89
2005-10-31,89.9
2005-11-01,90.4
2005-11-02,93.7
2005-11-03,91.5
2005-11-04,91.1
2005-11-07,92
2005-11-08,89.7
2005-11-09,90.8
2005-11-10,93.4
2005-11-11,96
2005-11-14,93.8
2005-11-15,92.1
2005-11-16,89
2005-11-17,92.6
2005-11-18,92.1
2005-11-21,90.5
2005-11-22,90
2005-11-23,90.2
2005-11-25,90
2005-11-28,90
2005-11-29,88.9
2005-11-30,87.2
2005-12-01,93.6
2005-12-02,94.2
2005-12-05,98.8
2005-12-06,99.2
2005-12-07,100.5
2005-12-08,99.5
2005-12-09,99.1
2005-12-12,102
2005-12-13,103
2005-12-14,105
2005-12-15,103.8
2005-12-16,107.8
2005-12-19,105.5
2005-12-20,105.3
2005-12-21,105.3
2005-12-22,105.9
2005-12-23,107.6
2005-12-27,106.3
