,NWA US Equity
2008-07-08,7.47
2008-07-09,6.3
2008-07-10,6.09
2008-07-11,5.81
2008-07-14,5.5
2008-07-15,5.39
2008-07-16,7.2
2008-07-17,8.3
2008-07-18,8.18
2008-07-21,7.77
2008-07-22,9.08
2008-07-23,10.46
2008-07-24,8.29
2008-07-25,8.72
2008-07-28,8.35
2008-07-29,9.6
2008-07-30,8.69
2008-07-31,9.16
2008-08-01,9.33
2008-08-04,9.65
2008-08-05,10.43
2008-08-06,10.45
2008-08-07,10.65
2008-08-08,11.22
2008-08-11,11.21
2008-08-12,11.21
2008-08-13,10.07
2008-08-14,10.59
2008-08-15,11.34
2008-08-18,11.43
2008-08-19,10.41
2008-08-20,9.84
2008-08-21,9.36
2008-08-22,10.37
2008-08-25,10.01
2008-08-26,9.55
2008-08-27,8.76
2008-08-28,9.87
2008-08-29,9.78
2008-09-02,11.17
2008-09-03,11.14
2008-09-04,10.96
2008-09-05,10.84
2008-09-08,10.51
2008-09-09,10.05
2008-09-10,9.55
2008-09-11,9.73
2008-09-12,9.85
2008-09-15,9.79
2008-09-16,11.69
2008-09-17,10.55
2008-09-18,10.92
2008-09-19,11.53
2008-09-22,10.03
2008-09-23,10.55
2008-09-24,9.99
2008-09-25,9.88
2008-09-26,9.8
2008-09-29,8.72
2008-09-30,9.03
2008-10-01,10.5
2008-10-02,9.71
2008-10-03,9.45
2008-10-06,8.71
2008-10-07,6.75
2008-10-08,6.6
2008-10-09,6.56
2008-10-10,7.15
2008-10-13,8.25
2008-10-14,8.87
2008-10-15,9
2008-10-16,10.72
2008-10-17,11.03
2008-10-20,11.43
2008-10-21,12.03
2008-10-22,11.87
2008-10-23,10.69
2008-10-24,9.87
2008-10-27,9.02
2008-10-28,9.77
2008-10-29,9.9
