,VA US Equity
2016-09-29,53.44
2016-09-30,53.51
2016-10-03,53.57
2016-10-04,53
2016-10-05,53.17
2016-10-06,53.08
2016-10-07,52.95
2016-10-10,52.35
2016-10-11,52.05
2016-10-12,52.39
2016-10-13,53.29
2016-10-14,52.08
2016-10-17,53.85
2016-10-18,54.1
2016-10-19,54.15
2016-10-20,54.35
2016-10-21,55.05
2016-10-24,55.15
2016-10-25,55.45
2016-10-26,54.65
2016-10-27,54.45
2016-10-28,54.5
2016-10-31,54.35
2016-11-01,54.4
2016-11-02,54.1
2016-11-03,53.85
2016-11-04,53.6
2016-11-07,55.55
2016-11-08,56.15
2016-11-09,56.15
2016-11-10,56.15
2016-11-11,56.15
2016-11-14,56
2016-11-15,55.8
2016-11-16,55.5
2016-11-17,55.45
2016-11-18,56.55
2016-11-21,56.5
2016-11-22,56.5
2016-11-23,56.575
2016-11-25,56.6
2016-11-28,56.5
2016-11-29,56.4
2016-11-30,56.5
2016-12-01,56.6
2016-12-02,56.55
2016-12-05,56.45
2016-12-06,56.8
2016-12-07,56.95
2016-12-08,57
2016-12-09,57
2016-12-12,56.975
2016-12-13,56.975
