,MESA US Equity
2019-02-05,8.58
2019-02-06,8.65
2019-02-07,8.73
2019-02-08,8.8
2019-02-11,8.8
2019-02-12,9.11
2019-02-13,8.96
2019-02-14,9.52
2019-02-15,9.39
2019-02-19,9.68
2019-02-20,9.33
2019-02-21,9.8
2019-02-22,10.03
2019-02-25,9.71
2019-02-26,10.21
2019-02-27,10.05
2019-02-28,10.07
2019-03-01,9.85
2019-03-04,9.72
2019-03-05,9.53
2019-03-06,9.41
2019-03-07,9.59
2019-03-08,9.62
2019-03-11,9.41
2019-03-12,9.34
2019-03-13,9.46
2019-03-14,9.52
2019-03-15,9.41
2019-03-18,9.34
2019-03-19,9.36
2019-03-20,9.16
2019-03-21,8.74
2019-03-22,8.5
2019-03-25,8.28
2019-03-26,8.13
2019-03-27,8.39
2019-03-28,8.4
2019-03-29,8.34
2019-04-01,8.64
2019-04-02,8.59
2019-04-03,8.71
2019-04-04,8.57
2019-04-05,8.4
2019-04-08,8.27
2019-04-09,8.16
2019-04-10,8.34
2019-04-11,8.46
2019-04-12,8.48
2019-04-15,8.1
2019-04-16,8.05
2019-04-17,8.28
2019-04-18,8.47
2019-04-22,8.62
2019-04-23,8.67
2019-04-24,8.79
2019-04-25,8.73
2019-04-26,8.75
2019-04-29,9.1
2019-04-30,9.14
2019-05-01,9.03
2019-05-02,9.14
2019-05-03,9.29
2019-05-06,9.3
2019-05-07,9.16
2019-05-08,9.17
2019-05-09,9.34
2019-05-10,9.2
2019-05-13,8.81
2019-05-14,8.97
2019-05-15,9.02
2019-05-16,8.9
2019-05-17,8.85
2019-05-20,8.82
2019-05-21,9
2019-05-22,8.88
2019-05-23,8.96
2019-05-24,9.08
2019-05-28,9.1
2019-05-29,9.11
2019-05-30,9.26
2019-05-31,9.12
2019-06-03,9
2019-06-04,8.87
2019-06-05,9.3
2019-06-06,9.54
2019-06-07,10.15
2019-06-10,10.45
2019-06-11,10.32
2019-06-12,10.36
2019-06-13,10.62
2019-06-14,10.85
2019-06-17,10.6
2019-06-18,10.59
2019-06-19,10.67
2019-06-20,10.87
2019-06-21,10.66
2019-06-24,10.14
2019-06-25,9.6
2019-06-26,9.33
2019-06-27,9.19
2019-06-28,9.14
2019-07-01,9.52
2019-07-02,9.38
2019-07-03,9.47
2019-07-05,9.64
2019-07-08,9.53
2019-07-09,9.47
2019-07-10,9.53
2019-07-11,9.41
2019-07-12,9.88
2019-07-15,9.89
2019-07-16,10.16
2019-07-17,10.14
2019-07-18,10.23
2019-07-19,10.09
2019-07-22,10.14
2019-07-23,10.45
2019-07-24,10.77
2019-07-25,10.36
2019-07-26,10.14
2019-07-29,10.12
2019-07-30,10.32
2019-07-31,10.24
2019-08-01,9.81
2019-08-02,9.46
2019-08-05,9.13
2019-08-06,9.35
2019-08-07,9.6
2019-08-08,9.77
2019-08-09,6.62
2019-08-12,5.84
2019-08-13,6.14
2019-08-14,6.19
2019-08-15,5.83
2019-08-16,6.14
2019-08-19,6.48
2019-08-20,6.26
2019-08-21,6.25
2019-08-22,6.06
2019-08-23,6.01
2019-08-26,6.46
2019-08-27,6.33
2019-08-28,6.39
2019-08-29,6.72
2019-08-30,6.46
2019-09-03,6.46
2019-09-04,6.56
2019-09-05,6.65
2019-09-06,6.49
2019-09-09,7.01
2019-09-10,7.27
2019-09-11,7.52
2019-09-12,7.53
2019-09-13,7.79
2019-09-16,7.55
2019-09-17,7.41
2019-09-18,7.29
2019-09-19,7.24
2019-09-20,7.47
2019-09-23,7.41
2019-09-24,7.17
2019-09-25,7.26
2019-09-26,6.88
2019-09-27,6.81
2019-09-30,6.745
2019-10-01,6.49
2019-10-02,6.31
2019-10-03,6.245
2019-10-04,6.345
2019-10-07,6.5
2019-10-08,6.5
2019-10-09,6.38
2019-10-10,6.34
2019-10-11,6.425
2019-10-14,7.025
2019-10-15,7.41
2019-10-16,7.23
2019-10-17,7.27
2019-10-18,7.05
2019-10-21,7.33
2019-10-22,7.71
2019-10-23,7.46
2019-10-24,7.46
2019-10-25,7.68
